Date,Meat_Type,Group,pH
2025-06-10,Beef,Fresh,5.61
2025-06-10,Beef,Fresh,5.61
2025-06-10,Beef,Fresh,5.64
2025-06-10,Beef,Frozen-Thawed,5.69
2025-06-10,Beef,Frozen-Thawed,5.69
2025-06-10,Beef,Frozen-Thawed,5.69
2025-06-10,Chicken,Fresh,5.95
2025-06-10,Chicken,Fresh,6.0
2025-06-10,Chicken,Fresh,6.0
2025-06-10,Chicken,Frozen-Thawed,6.06
2025-06-10,Chicken,Frozen-Thawed,6.05
2025-06-10,Chicken,Frozen-Thawed,6.07
2025-06-10,Pork,Fresh,5.78
2025-06-10,Pork,Fresh,5.76
2025-06-10,Pork,Fresh,5.77
2025-06-10,Pork,Frozen-Thawed,5.84
2025-06-10,Pork,Frozen-Thawed,5.89
2025-06-10,Pork,Frozen-Thawed,5.89
2025-06-11,Beef,Fresh,5.67
2025-06-11,Beef,Fresh,5.64
2025-06-11,Beef,Fresh,5.68
2025-06-11,Beef,Frozen-Thawed,5.76
2025-06-11,Beef,Frozen-Thawed,5.72
2025-06-11,Beef,Frozen-Thawed,5.78
2025-06-11,Chicken,Fresh,6.08
2025-06-11,Chicken,Fresh,6.03
2025-06-11,Chicken,Fresh,6.06
2025-06-11,Chicken,Frozen-Thawed,6.19
2025-06-11,Chicken,Frozen-Thawed,6.15
2025-06-11,Chicken,Frozen-Thawed,6.15
2025-06-11,Pork,Fresh,5.88
2025-06-11,Pork,Fresh,5.88
2025-06-11,Pork,Fresh,5.84
2025-06-11,Pork,Frozen-Thawed,5.96
2025-06-11,Pork,Frozen-Thawed,5.95
2025-06-11,Pork,Frozen-Thawed,5.93
2025-06-12,Beef,Fresh,5.71
2025-06-12,Beef,Fresh,5.75
2025-06-12,Beef,Fresh,5.74
2025-06-12,Beef,Frozen-Thawed,5.86
2025-06-12,Beef,Frozen-Thawed,5.86
2025-06-12,Beef,Frozen-Thawed,5.82
2025-06-12,Chicken,Fresh,6.16
2025-06-12,Chicken,Fresh,6.11
2025-06-12,Chicken,Fresh,6.11
2025-06-12,Chicken,Frozen-Thawed,6.26
2025-06-12,Chicken,Frozen-Thawed,6.29
2025-06-12,Chicken,Frozen-Thawed,6.3
2025-06-12,Pork,Fresh,5.93
2025-06-12,Pork,Fresh,5.91
2025-06-12,Pork,Fresh,5.88
2025-06-12,Pork,Frozen-Thawed,6.04
2025-06-12,Pork,Frozen-Thawed,6.01
2025-06-12,Pork,Frozen-Thawed,6.04
2025-06-13,Beef,Fresh,5.78
2025-06-13,Beef,Fresh,5.82
2025-06-13,Beef,Fresh,5.8
2025-06-13,Beef,Frozen-Thawed,5.92
2025-06-13,Beef,Frozen-Thawed,5.95
2025-06-13,Beef,Frozen-Thawed,5.89
2025-06-13,Chicken,Fresh,6.23
2025-06-13,Chicken,Fresh,6.23
2025-06-13,Chicken,Fresh,6.2
2025-06-13,Chicken,Frozen-Thawed,6.35
2025-06-13,Chicken,Frozen-Thawed,6.37
2025-06-13,Chicken,Frozen-Thawed,6.36
2025-06-13,Pork,Fresh,5.99
2025-06-13,Pork,Fresh,5.99
2025-06-13,Pork,Fresh,5.98
2025-06-13,Pork,Frozen-Thawed,6.09
2025-06-13,Pork,Frozen-Thawed,6.12
2025-06-13,Pork,Frozen-Thawed,6.15
2025-06-14,Beef,Fresh,5.9
2025-06-14,Beef,Fresh,5.88
2025-06-14,Beef,Fresh,5.89
2025-06-14,Beef,Frozen-Thawed,6.0
2025-06-14,Beef,Frozen-Thawed,6.04
2025-06-14,Beef,Frozen-Thawed,6.02
2025-06-14,Chicken,Fresh,6.28
2025-06-14,Chicken,Fresh,6.29
2025-06-14,Chicken,Fresh,6.28
2025-06-14,Chicken,Frozen-Thawed,6.48
2025-06-14,Chicken,Frozen-Thawed,6.46
2025-06-14,Chicken,Frozen-Thawed,6.43
2025-06-14,Pork,Fresh,6.09
2025-06-14,Pork,Fresh,6.04
2025-06-14,Pork,Fresh,6.06
2025-06-14,Pork,Frozen-Thawed,6.17
2025-06-14,Pork,Frozen-Thawed,6.2
2025-06-14,Pork,Frozen-Thawed,6.19
2025-06-15,Beef,Fresh,5.94
2025-06-15,Beef,Fresh,5.91
2025-06-15,Beef,Fresh,5.92
2025-06-15,Beef,Frozen-Thawed,6.09
2025-06-15,Beef,Frozen-Thawed,6.09
2025-06-15,Beef,Frozen-Thawed,6.07
2025-06-15,Chicken,Fresh,6.36
2025-06-15,Chicken,Fresh,6.38
2025-06-15,Chicken,Fresh,6.36
2025-06-15,Chicken,Frozen-Thawed,6.52
2025-06-15,Chicken,Frozen-Thawed,6.53
2025-06-15,Chicken,Frozen-Thawed,6.51
2025-06-15,Pork,Fresh,6.13
2025-06-15,Pork,Fresh,6.13
2025-06-15,Pork,Fresh,6.1
2025-06-15,Pork,Frozen-Thawed,6.28
2025-06-15,Pork,Frozen-Thawed,6.27
2025-06-15,Pork,Frozen-Thawed,6.28
2025-06-16,Beef,Fresh,6.02
2025-06-16,Beef,Fresh,6.01
2025-06-16,Beef,Fresh,6.02
2025-06-16,Beef,Frozen-Thawed,6.17
2025-06-16,Beef,Frozen-Thawed,6.18
2025-06-16,Beef,Frozen-Thawed,6.15
2025-06-16,Chicken,Fresh,6.46
2025-06-16,Chicken,Fresh,6.44
2025-06-16,Chicken,Fresh,6.49
2025-06-16,Chicken,Frozen-Thawed,6.62
2025-06-16,Chicken,Frozen-Thawed,6.65
2025-06-16,Chicken,Frozen-Thawed,6.62
2025-06-16,Pork,Fresh,6.22
2025-06-16,Pork,Fresh,6.2
2025-06-16,Pork,Fresh,6.2
2025-06-16,Pork,Frozen-Thawed,6.39
2025-06-16,Pork,Frozen-Thawed,6.34
2025-06-16,Pork,Frozen-Thawed,6.35
2025-06-17,Beef,Fresh,6.12
2025-06-17,Beef,Fresh,6.08
2025-06-17,Beef,Fresh,6.09
2025-06-17,Beef,Frozen-Thawed,6.2
2025-06-17,Beef,Frozen-Thawed,6.26
2025-06-17,Beef,Frozen-Thawed,6.22
2025-06-17,Chicken,Fresh,6.51
2025-06-17,Chicken,Fresh,6.55
2025-06-17,Chicken,Fresh,6.52
2025-06-17,Chicken,Frozen-Thawed,6.7
2025-06-17,Chicken,Frozen-Thawed,6.72
2025-06-17,Chicken,Frozen-Thawed,6.7
2025-06-17,Pork,Fresh,6.24
2025-06-17,Pork,Fresh,6.21
2025-06-17,Pork,Fresh,6.25
2025-06-17,Pork,Frozen-Thawed,6.47
2025-06-17,Pork,Frozen-Thawed,6.46
2025-06-17,Pork,Frozen-Thawed,6.44
2025-06-18,Beef,Fresh,6.16
2025-06-18,Beef,Fresh,6.14
2025-06-18,Beef,Fresh,6.19
2025-06-18,Beef,Frozen-Thawed,6.33
2025-06-18,Beef,Frozen-Thawed,6.32
2025-06-18,Beef,Frozen-Thawed,6.3
2025-06-18,Chicken,Fresh,6.63
2025-06-18,Chicken,Fresh,6.63
2025-06-18,Chicken,Fresh,6.65
2025-06-18,Chicken,Frozen-Thawed,6.8
2025-06-18,Chicken,Frozen-Thawed,6.8
2025-06-18,Chicken,Frozen-Thawed,6.81
2025-06-18,Pork,Fresh,6.32
2025-06-18,Pork,Fresh,6.36
2025-06-18,Pork,Fresh,6.34
